update cell_num task.0 task.1 task.2 task.3 task.4 task.5 task.6 task.7 task.8 
67 0 1 0 0 2 0 2 0 0 0 
67 1 1 0 0 2 0 1 0 0 0 
67 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 3 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 4 0 1 0 2 0 1 0 0 0 
67 5 1 0 0 0 2 0 1 0 0 
67 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 9 1 0 0 0 2 0 1 0 0 
67 10 1 0 0 2 0 1 0 0 0 
67 11 0 1 0 2 0 1 0 0 0 
67 12 1 0 0 0 2 0 2 0 0 
67 13 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 14 1 0 0 0 2 0 1 0 0 
67 15 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 16 1 0 0 0 2 0 1 0 0 
67 17 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 18 0 1 0 2 0 1 0 0 0 
67 19 0 1 0 2 0 1 0 0 0 
67 20 0 1 0 2 0 1 0 0 0 
67 21 0 1 0 2 0 1 0 0 0 
67 22 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 23 0 1 0 2 0 2 0 0 0 
67 24 0 1 0 2 0 1 0 0 0 
67 25 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 26 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 27 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 28 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 29 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 30 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 31 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 32 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 33 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 34 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 35 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 36 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 37 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 38 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 39 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 40 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 41 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 42 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 43 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 44 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 45 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 46 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 47 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 48 -1 -1 -1 -1 -1 -1 -1 -1 -1 
67 49 -1 -1 -1 -1 -1 -1 -1 -1 -1 
