update cell_num task.0 task.1 task.2 task.3 task.4 task.5 task.6 task.7 task.8 
41 0 1 0 0 2 0 2 0 0 0 
41 1 0 1 0 2 0 2 0 0 0 
41 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 3 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 4 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 9 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 10 0 1 0 2 0 2 0 0 0 
41 11 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 12 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 13 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 14 1 0 0 0 2 0 2 0 0 
41 15 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 16 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 17 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 18 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 19 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 20 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 21 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 22 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 23 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 24 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 25 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 26 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 27 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 28 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 29 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 30 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 31 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 32 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 33 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 34 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 35 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 36 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 37 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 38 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 39 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 40 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 41 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 42 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 43 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 44 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 45 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 46 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 47 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 48 -1 -1 -1 -1 -1 -1 -1 -1 -1 
41 49 -1 -1 -1 -1 -1 -1 -1 -1 -1 
