update cell_num task.0 task.1 task.2 task.3 task.4 task.5 task.6 task.7 task.8 
6 0 0 1 0 2 0 2 0 0 0 
6 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 3 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 4 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 9 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 10 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 11 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 12 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 13 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 14 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 15 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 16 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 17 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 18 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 19 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 20 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 21 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 22 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 23 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 24 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 25 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 26 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 27 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 28 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 29 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 30 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 31 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 32 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 33 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 34 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 35 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 36 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 37 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 38 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 39 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 40 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 41 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 42 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 43 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 44 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 45 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 46 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 47 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 48 -1 -1 -1 -1 -1 -1 -1 -1 -1 
6 49 -1 -1 -1 -1 -1 -1 -1 -1 -1 
