update cell_num task.0 task.1 task.2 task.3 task.4 task.5 task.6 task.7 task.8 
40 0 1 0 0 2 0 2 0 0 0 
40 1 0 1 0 2 0 2 0 0 0 
40 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 3 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 4 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 9 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 10 0 1 0 2 0 2 0 0 0 
40 11 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 12 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 13 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 14 1 0 0 0 2 0 2 0 0 
40 15 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 16 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 17 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 18 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 19 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 20 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 21 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 22 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 23 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 24 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 25 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 26 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 27 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 28 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 29 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 30 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 31 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 32 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 33 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 34 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 35 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 36 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 37 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 38 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 39 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 40 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 41 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 42 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 43 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 44 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 45 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 46 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 47 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 48 -1 -1 -1 -1 -1 -1 -1 -1 -1 
40 49 -1 -1 -1 -1 -1 -1 -1 -1 -1 
