update cell_num task.0 task.1 task.2 task.3 task.4 task.5 task.6 task.7 task.8 
21 0 1 0 0 0 2 0 2 0 0 
21 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 3 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 4 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 9 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 10 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 11 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 12 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 13 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 14 0 1 0 2 0 2 0 0 0 
21 15 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 16 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 17 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 18 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 19 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 20 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 21 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 22 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 23 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 24 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 25 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 26 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 27 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 28 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 29 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 30 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 31 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 32 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 33 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 34 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 35 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 36 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 37 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 38 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 39 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 40 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 41 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 42 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 43 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 44 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 45 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 46 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 47 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 48 -1 -1 -1 -1 -1 -1 -1 -1 -1 
21 49 -1 -1 -1 -1 -1 -1 -1 -1 -1 
